seller,category,product_name,product_brand,normal_price,sale_price,discount,main_img,description,shipment_type,shipment_time,shipping_price
고랭지 사과,#과일#사과#고랭지#부사,고랭지 부사 사과 1.3kg(4~5입),고랭지,24900,22900,5,과일1.jpeg,고랭지의 기온차를 견디고 자라 빨갛게 잘 익은 부사 사과를 만나보세요.  맛좋기로 유명한 부사사과를 준비했어요. 과육이 단단하고 신맛과 단맛의 균형이 조화로워 인기가 많은 품종이지요. 국내 농가에서 정성스레 길러 한 두번에 나눠 먹기 좋은 양으로 담았는데요. 식후나 디저트로 남김없이 즐기기 좋은 사이즈랍니다. 잘 여문 사과 한 알로 달콤한 즐거움을 누려보세요.,일반 택배배송,2,1000
[Dole],#과일#바나나#스위티오#고랭지#Dole,[Dole] 스위티오 바나나 1kg,Dole,5190,4930,10,과일3.jpeg,스위티오는 Dole이 생산하는 바나나 중에서도 가장 품질이 뛰어나고 당도가 높은 것만을 선별해 붙여주는 이름이에요. 이 이름을 얻기 위해서는 바나나가 자라는 환경부터 달라야 합니다. 스위티오 바나나는 필리핀 해발 600m 이상의 고산지대에 위치한 농장에서 재배돼요. 저지대에 있는 농장에 비해 평균 기온이 낮기 때문에 과육에 수분이 적고 쫀득한 식감을 갖게 되지요. 일반 바나나보다 재배 기간이 5개월~8개월 이상 긴 것도 특징이에요. 광합성을 오래 하는 만큼 더 진한 달콤함을 머금고 있습니다. 꼼꼼한 선별을 통해 선택된 스위티오 바나나는 한국 전용선박과 부두를 통해 들여와 신선함을 유지하고 있어요. Dole이 자랑하는 맛있는 바나나를 만나보세요.,일반 택배배송,2,1000
[Dole],#과일#아보카도#펠루#고랭지#Dole,[Dole] 아보카도 1kg (5~7입),Dole,30000,24000,20,과일4.jpg,"부드럽고 고소한 아보카도 과육은 마치 싱그러운 버터를 한 입 베어 문 것 같은 착각에 빠지게 만들어요. 울퉁불퉁하고 투박한 겉모습과 달리, 반을 가르면 등장하는 매끄러운 과육과 동글동글한 씨앗이 눈길을 끌지요. 고품질 과일 브랜드 Dole에서 까다롭게 수확한 맛 좋은 아보카도를 준비했어요. 넉넉하게 담았으니 아보카도를 즐겨먹는 분이라면 더더욱 챙겨두세요. 샐러드, 비빔밥, 샌드위치 등 다양한 요리에 활용할 수 있는 만능 식재료이니까요. ",일반 택배배송,2,1000
미국체리사장,#과일#체리#캘리포니아#미국,미국산 캘리포니아 생체리 500g (10row),체리USA,18000,16200,10,과일5.jpg,체리를 떠올리면 누구나 입안 가득 침이 고일 거예요. 기분 좋게 퍼지는 짙은 달콤함은 1년 중 맛볼 수 있는 날이 그리 길지 않아 만족스러움과 함께 아쉬움을 남긴답니다.  과일계의 다이아몬드라 불리는 체리 중에서도 한 입에 쏙 들어가는 크기의 캘리포니아 생체리를 선보일게요. 일조량이 풍부한 미국 서부 지역에서 수확하여 항공편을 통해 신선하게 수입한 제품이랍니다. 보석처럼 빛나는 달콤상큼한 체리 한 알로 즐거운 디저트 타임을 즐겨보세요.,일반 택배배송,2,1000
아니농포도,#과일#포도#델라웨어#국산,델라웨어 포도 200g,델라웨어,8900,7900,11,과일6.jpg,"녹음이 우거지는 풍경 속, 가장 익숙한 과일이 있다면 그건 아마도 포도일 거예요. 평소 우리가 먹던 짙은 보랏빛의 포도와는 또 다른 매력을 가진 포도를 만나보세요. 작은 보석처럼 알알이 빛나는 포도, 델라웨어입니다. 검붉은빛 껍질이 얇고 씨가 없을 뿐더러, 자그마한 크기라 드시기에 참 편한데요. 앙증맞은 포도알에 자두향을 머금은 새콤함이 꽉 들어차 있답니다. 한 알씩 깨물어 드셔 보세요. 계절의 달콤함이 성큼 다가올 거예요.",일반 택배배송,2,1000
과일의 왕,#과일#토마토#완숙#국산#성주#탱글탱글,[KF365] 완숙토마토 2kg,성주,16000,12800,20,과일7.jpg,"잘 익은 토마토는 썰어서 그대로 먹기만 해도 맛있어요. 붉은 과육은 조금 더 달아지고, 식감은 부드럽게 변합니다. 라이코펜이며 비타민, 베타카로틴이 풍부해 매일매일 꼭 챙겨 먹으면 좋은 영양 식재료가 바로 토마토인데요. 잘 익은 토마토를 잘 선별해 담아 냈습니다. 완숙토마토를 깨끗하게 씻은 후 올리브유를 뿌려 드셔보세요. 살사나 샐러드를 만들어도 맛있고, 볶음 등으로 활용해보셔도 좋아요.",일반 택배배송,2,1000
카라농작물,#과일#카라#향긋#제주#국산,카라향,카라향 500g(4과),18000,14400,20,과일8.jpg,"만감류의 풍성한 달콤함을 즐기는 분들을 위해  준비했어요. 1년 중 단 두 달만 만나볼 수 있는 귀한 과일, 카라향입니다. 처음엔 오돌토돌한 카라향의 껍질이 생소하게 보일 수 있는데요. 직접 먹어보면 그 진가를 알 수 있답니다. 산미가 적고 달콤한 맛이 일품일 뿐더러, 다른 만감류에 비해 껍질을 벗기기가 쉽다는 장점이 있지요. 대표적인 만감류 특산지, 제주에서 길러낸 과일이라 더욱 만족스럽고요. 달콤함과 수분까지 가득 담아낸 카라향으로, 이 계절의 제주를 만나보세요. ",일반 택배배송,2,1000
제스프리 키위,#과일#키위#제스프리#골드#뉴질랜드,[제스프리] 뉴질랜드 골드키위 1.1kg (8~10입) (후숙필요),제스프리,14900,13410,10,과일2.jpg,"뉴질랜드의 따스한 햇살 아래, 달콤하게 무르익은 골드키위를 만나보세요. 농장에서부터 선별, 유통까지, 세계적인 키위 브랜드 제스프리의 깐깐한 품질 관리를 거친 키위랍니다. 
   반으로 잘라 숟가락으로 떠먹으면, 촉촉하고 상큼한 과즙이 입안 가득 맴돌지요. 비타민C, 엽산, 식이섬유 등이 풍부해, 영양소까지 섭취할 수 있답니다. 털이 적어 매끄럽고, 손질까지 편리하니 제스프리 골드키위로 달콤한 디저트 타임을 만끽해 보세요.",일반 택배배송,2,1000
보석딸기 재배원,#과일#산#딸기#국산#보석,보석산딸기 150g,보석산딸기,16900,14900,11,과일9.jpg,"알알이 붉은빛이 탐스런 산딸기는 과육이 연해 생과로 만나볼 기회가 흔치 않은데요. 먹음직스러운 크기에, 부드럽고 탱글한 외관을 자랑하는 산딸기를 만나보세요. 한 입에 쏙 넣어보면, 톡톡 씹히는 과육 사이로 특유의 새콤달콤함이 은은하게 배어나오죠. 아담한 양을 담아내, 끝까지 신선하게 즐길 수 있을 거예요. 가볍게 씻어 기분 좋은 상큼함을 누려보세요.",일반 택배배송,2,1000
썬키스트,#과일#레몬#썬키스트#미국#팬시,[썬키스트] 팬시 레몬 1kg (8-12입),썬키스트,13000,12350,5,과일10.jpg,"팡팡 터지는 새콤한 과즙을 머금은 레몬은 비타민의 보고라고 해도 과언이 아닌데요. 얇게 저민 레몬과 설탕을 차곡차곡 쌓아 만든 레몬청을 한 스푼 담고, 얼음과 탄산수를 부으면 청량한 레모네이드가 완성됩니다. 레몬 그 자체를 즐기는 방법으로는 레모네이드가 가장 먼저 떠오르지만, 사실 무척 활용도가 높은 과일이에요. 고기의 식감을 연하게 할 뿐만 아니라 해산물의 비린내를 잡아주고, 각종 쿠키 및 파이의 풍미도 근사하게 만들어 주죠.  신선한 레몬을 넉넉하게 담아 문 앞까지 전해드릴게요. 요리 못지않게 살림에도 많은 용도로 활용될 거예요.",일반 택배배송,2,1000
스나노골드,#과일#사과#금#시나노골드#국산,시나노골드 (금사과) 1.3kg (5~7입),골든킹,25000,23500,6,과일11.jpg,"홍옥이나 부사처럼 빨갛게 익어가는 사과가 있는가 하면, 노랗게 여무는 사과도 있어요. 금사과로도 불리는 시나노 골드는 처음 열매가 맺혔을 땐 연둣빛을 띠고 있지만, 시간이 지날수록 밝은 노란색으로 물들어 가지요. 아삭아삭한 식감과 수분감이 뛰어나고, 신맛과 단맛의 조화가 무척 훌륭한 사과랍니다. 향기는 또 어떨까요. 사과 본연의 존재감을 그대로 드러내듯, 기분 좋게 번지는 그윽한 향은 모자람이 없답니다.",일반 택배배송,2,1000
망고조아재배,#과일#망고#태국#냉장,태국산 망고 600g (2입),태국망고장,9900,8910,10,과일12.jpeg,고급스러운 단맛과 탱탱하고 진득한 식감으로 한 번 맛본 사람은 계속 먹게 된다는 열대과일 망고! 열대지방의 햇빛을 그대로 담아 황금빛 과육을 뽐내는 망고는 한 마디로 사랑입니다. 그중에서도 태국 망고로 불리는 남독마이는 깊고 부드러운 단맛으로 당도와 향이 뛰어나 세계적으로 인정받는 고급 품종이에요. 그래서 망고를 사랑하는 분들을 위해 맛 좋기로 유명한 태국 망고를 준비했습니다. 어떤 과일로도 채워지지 않는 허전함이 있다면 태국 망고 남독마이로 입안 가득 차오르는 향긋함과 달콤함을 즐겨보세요.,일반 택배배송,2,1000
일론머스크과일장,#과일#멜론#머스크#국산,[KF365] 머스크멜론 1.6kg,화성전기,15900,14900,6,과일13.jpg,"멜론은 촉촉한 식감과 입안에 감도는 단맛으로 그만의 매력을 톡톡히 발산하는 과일이죠. 그중에서도 달콤한 맛과 향을 품은 머스크 멜론을  합리적인 가격으로 만나보세요. 국내 농가에서 정성스레 재배해 묵직하게 잘 익은 머스크 멜론이랍니다. 맛도 맛이지만 비타민C, 칼륨도 풍부하게 함유하고 있어 꾸준히 즐겨 찾는 분들도 계시죠. 과일 디저트는 물론이고, 시원한 빙수로 만들거나 하몽을 곁들여 근사한 안주로 즐겨도 좋을 거예요.",일반 택배배송,2,1000
포도마루,#과일#경조정#유기농#청포도#초여름,유기농 경조정 500g,경조포도,27900,25900,7,과일14.jpg,"녹음이 우거지는 계절에 특히 생각나는 과일이 있습니다. 바로 ‘경조정’이라 불리는 청포도예요. 싱그러움이 번지는 연둣빛 색감, 속이 빤히 보일 만큼 얇고 투명한 껍질을 지녔죠. 비록 다른 포도보다 과실은 작은 편이지만, 깨무는 순간 퍼지는 풍성한 과즙은 여름의 생동감과 무척 닮아있습니다. 이른 새벽, 경북 군위에서 수확한 유기농 경조정을 풀콜드체인을 통해 문 앞까지 신선하게 전해드릴게요. 씨가 없고 식감도 부드러운 품종이니, 아이들 간식으로 가볍게 내어도 좋을 거예요.",일반 택배배송,2,1000
알뜰배재원,#과일#배#국산#유기농,맛좋은 알뜰배 2kg (3~4입),알뜰배,30000,28500,5,과일15.jpg,"사각사각 시원한 과육 사이에 달고 개운한 과즙이 가득 들어찬 배, 호불호 없이 누구나 좋아하는 과일이지요. 요리에 단맛을 더하거나 육질을 연하게 할 때 쓰기도 하니, 그 활용도까지 무궁무진해요. 이번에는 외모는 조금 못났지만, 그 안에 들어찬 과육만큼은 맛이 참 좋은 알뜰배를 소개합니다. 작은 상처나 흠집, 울퉁불퉁한 모양과 얼룩 때문에, 달디단 과육을 보여주기도 전에 외면 받은 것들이에요. 손님 상에 내어 놓기에는 조금 민망할 수 있겠지요. 하지만 배즙, 김장, 갈비찜 등 요리에 활용하기에는 티끌만큼의 모자람도 없으니 장바구니에 기분 좋게 담아보세요.",일반 택배배송,2,1000
새벽과일향,#과일#자몽#국산#웰빙#새벽,자몽 900g (3입),샛별,9000,8100,10,과일16.jpg,"촉촉한 알갱이가 가득 차 있는 코랄빛 과육은 자몽 특유의 상큼함과 쌉싸름한 뒷맛을 품고 있는데요. 과즙, 수분뿐만 아니라 비타민도 풍부하게 들어있어 웰빙 과일로 꾸준한 인기를 누리고 있지요. 품질 좋은 자몽을 엄선하여 문 앞까지 전해드립니다. 생과 그 자체로 즐겨도 좋지만, 상큼한 에이드부터 오래 두고 먹기 좋은 자몽청까지 다양한 용도로 활용해 보세요. 자몽 과육을 썰어 넣은 샐러드는 입가심용 간편 메뉴로도 손색없을 거예요.",일반 택배배송,2,1000
우리집과일,#과일#백도#국산#복숭아,하우스 백도 복숭아 1.2kg 내외 (5~7입),하우스,40000,34000,15,과일17.jpg,"복숭아는 은은한 달콤함과 남다른 수분감을 뽐내는 여름 대표 과일이지요.  국내 하우스에서 정성스레 재배한 백도 복숭아를 선보입니다. 온도, 물 등 복숭아의 품질에 영향을 미치는 조건을 엄격하게 체크해가며 길러냈지요. 겉 붉고 속은 새하얀 백도 복숭아로 올여름 무더위를 기분 좋게 날려보세요.",일반 택배배송,2,1000
